<4: NRO, 3>
<4: DEL, ;>
<5: NRO, 1.3>
<5: DEL, .>
<5: NRO, 3.6>
<5: ART, +>
<5: NRO, 10>
<7: NRO, 1>
<7: DEL, .>
<7: NRO, 5>
<7: REL, >>
<7: NRO, 20.6>
<8: ART, +>
<8: NRO, 3>
<10: NRO, 1>
<10: ART, -->
<10: NRO, 2>
<12: ART, ->
<14: NRO, 20>
<16: IDE, a>
<16: ART, ++>
<16: ART, +>
<16: ART, ->
<18: NRO, 2>
<20: NRO, -2>
<20: NRO, -2>
<22: NRO, -12>
<22: ART, -->
<22: NRO, -2>
<24: NRO, -2>
<24: ART, ->
<24: ART, ->


<4: NROMF, 1..>
<7: CIN, @>
<8: NROMF, 9.a>
